Wave Data provided @ 06:51hrs on 03-05-2025
Site, SiteNumber, Seconds, DateTime, Latitude, Longitude, Hsig, Hmax, Tp, Tz, SST, Direction, Current Speed, Current Direction
Caloundra,54,1745589600,2025-04-26T00:00:00,-26.84620,153.15589,1.042,1.610,11.760,6.061,24.25,95.60,-99.90,-99.90
Caloundra,54,1745591400,2025-04-26T00:30:00,-26.84619,153.15585,0.950,1.580,11.760,6.349,24.25,92.80,-99.90,-99.90
Caloundra,54,1745593200,2025-04-26T01:00:00,-26.84618,153.15583,0.982,1.550,11.760,6.667,24.25,106.90,-99.90,-99.90
Caloundra,54,1745595000,2025-04-26T01:30:00,-26.84618,153.15581,0.923,1.530,11.760,6.452,24.15,102.70,-99.90,-99.90
Caloundra,54,1745596800,2025-04-26T02:00:00,-26.84619,153.15577,0.955,1.770,11.110,6.250,24.20,102.70,-99.90,-99.90
Caloundra,54,1745598600,2025-04-26T02:30:00,-26.84620,153.15574,0.929,1.330,11.760,6.557,24.30,95.60,-99.90,-99.90
Caloundra,54,1745600400,2025-04-26T03:00:00,-26.84624,153.15572,0.992,1.520,11.110,6.667,24.25,90.00,-99.90,-99.90
Caloundra,54,1745602200,2025-04-26T03:30:00,-26.84637,153.15547,0.948,1.570,11.760,6.667,24.25,109.70,-99.90,-99.90
Caloundra,54,1745604000,2025-04-26T04:00:00,-26.84686,153.15536,0.944,1.520,11.760,6.557,24.25,104.10,-99.90,-99.90
Caloundra,54,1745605800,2025-04-26T04:30:00,-26.84699,153.15549,0.861,1.290,10.530,6.250,24.25,95.60,-99.90,-99.90
Caloundra,54,1745607600,2025-04-26T05:00:00,-26.84703,153.15551,0.872,1.400,11.110,6.154,24.25,91.40,-99.90,-99.90
Caloundra,54,1745609400,2025-04-26T05:30:00,-26.84702,153.15551,0.895,1.360,11.760,6.349,24.25,102.70,-99.90,-99.90
Caloundra,54,1745611200,2025-04-26T06:00:00,-26.84701,153.15551,0.908,1.460,11.110,6.349,23.85,94.20,-99.90,-99.90
Caloundra,54,1745613000,2025-04-26T06:30:00,-26.84698,153.15547,0.951,1.570,11.110,6.452,23.90,97.00,-99.90,-99.90
Caloundra,54,1745614800,2025-04-26T07:00:00,-26.84695,153.15549,0.921,1.380,11.110,6.780,23.95,95.60,-99.90,-99.90
Caloundra,54,1745616600,2025-04-26T07:30:00,-26.84696,153.15551,0.996,1.670,11.760,6.780,24.00,92.80,-99.90,-99.90
Caloundra,54,1745618400,2025-04-26T08:00:00,-26.84690,153.15549,1.007,1.360,10.000,6.667,24.10,102.70,-99.90,-99.90
Caloundra,54,1745620200,2025-04-26T08:30:00,-26.84676,153.15553,1.019,1.750,11.110,6.780,24.20,92.80,-99.90,-99.90
Caloundra,54,1745622000,2025-04-26T09:00:00,-26.84643,153.15559,0.947,1.930,11.760,6.557,24.25,91.40,-99.90,-99.90
Caloundra,54,1745623800,2025-04-26T09:30:00,-26.84625,153.15572,1.052,1.870,11.110,5.970,24.30,90.00,-99.90,-99.90
Caloundra,54,1745625600,2025-04-26T10:00:00,-26.84622,153.15579,1.047,1.870,11.110,6.452,24.30,99.80,-99.90,-99.90
Caloundra,54,1745627400,2025-04-26T10:30:00,-26.84622,153.15592,1.131,1.950,11.760,6.349,24.45,78.80,-99.90,-99.90
Caloundra,54,1745629200,2025-04-26T11:00:00,-26.84620,153.15594,1.136,2.190,8.330,6.250,24.50,95.60,-99.90,-99.90
Caloundra,54,1745631000,2025-04-26T11:30:00,-26.84620,153.15592,1.187,1.940,8.330,6.250,24.50,99.80,-99.90,-99.90
Caloundra,54,1745632800,2025-04-26T12:00:00,-26.84619,153.15592,1.079,1.650,8.330,6.557,24.45,108.30,-99.90,-99.90
Caloundra,54,1745634600,2025-04-26T12:30:00,-26.84617,153.15585,1.104,1.960,8.330,6.780,24.55,105.50,-99.90,-99.90
Caloundra,54,1745636400,2025-04-26T13:00:00,-26.84615,153.15581,0.995,1.890,8.330,6.897,24.50,106.90,-99.90,-99.90
Caloundra,54,1745638200,2025-04-26T13:30:00,-26.84617,153.15581,0.981,1.790,11.110,6.897,24.45,104.10,-99.90,-99.90
Caloundra,54,1745640000,2025-04-26T14:00:00,-26.84618,153.15577,0.989,1.550,10.000,6.667,24.45,106.90,-99.90,-99.90
Caloundra,54,1745641800,2025-04-26T14:30:00,-26.84619,153.15574,1.051,1.780,8.330,6.557,24.40,102.70,-99.90,-99.90
Caloundra,54,1745643600,2025-04-26T15:00:00,-26.84620,153.15572,1.061,1.780,11.110,6.452,24.40,109.70,-99.90,-99.90
Caloundra,54,1745645400,2025-04-26T15:30:00,-26.84629,153.15559,1.084,1.960,10.000,6.349,24.50,108.30,-99.90,-99.90
Caloundra,54,1745647200,2025-04-26T16:00:00,-26.84661,153.15531,0.998,1.610,8.330,6.154,24.55,109.70,-99.90,-99.90
Caloundra,54,1745649000,2025-04-26T16:30:00,-26.84697,153.15542,0.929,1.730,11.110,6.349,24.50,101.30,-99.90,-99.90
Caloundra,54,1745650800,2025-04-26T17:00:00,-26.84705,153.15549,0.999,1.970,11.110,6.349,24.50,115.30,-99.90,-99.90
Caloundra,54,1745652600,2025-04-26T17:30:00,-26.84706,153.15551,0.943,1.620,11.110,6.667,24.50,109.70,-99.90,-99.90
Caloundra,54,1745654400,2025-04-26T18:00:00,-26.84705,153.15553,0.975,1.670,8.330,6.250,24.35,109.70,-99.90,-99.90
Caloundra,54,1745656200,2025-04-26T18:30:00,-26.84703,153.15553,0.938,1.440,11.760,6.349,24.35,105.50,-99.90,-99.90
Caloundra,54,1745658000,2025-04-26T19:00:00,-26.84702,153.15551,0.996,1.910,8.330,6.349,24.35,108.30,-99.90,-99.90
Caloundra,54,1745659800,2025-04-26T19:30:00,-26.84700,153.15551,0.945,1.810,8.330,6.452,24.35,101.30,-99.90,-99.90
Caloundra,54,1745661600,2025-04-26T20:00:00,-26.84700,153.15551,1.001,1.880,11.110,6.349,24.35,102.70,-99.90,-99.90
Caloundra,54,1745663400,2025-04-26T20:30:00,-26.84699,153.15549,0.957,1.610,11.110,6.897,24.40,99.80,-99.90,-99.90
Caloundra,54,1745665200,2025-04-26T21:00:00,-26.84695,153.15551,0.935,1.660,7.690,6.557,24.35,102.70,-99.90,-99.90
